关联医院code,关联医院名称,院边店code,院边店名称,"A类：
（院内店、HIS）"
N-H000012,上海市第一人民医院北部,N-R090589,上海益丰大药房连锁有限公司汉阳路店,N
N-H000010,上海交通大学医学院附属第九人民医院北院,N-R095005,国药控股国大药房上海连锁有限公司漠河路店,N
N-H003580,宁夏回族自治区人民医院院本部,N-R166612,银川福安美合泰医药有限公司,N
N-H003581,银川市第一人民医院,N-R036994,宁夏民信德仁医药有限公司一分店,Y
N-H035003,宁夏颐阳医院有限公司,N-R133586,宁夏医正药业有限公司医正普济大药房三分店,N
N-H010868,宁夏医科大学总医院,N-R133586,宁夏医正药业有限公司医正普济大药房三分店,N
N-H004231,宁夏医科大学总医院心脑血管病医院,N-R015527,普济大药房（宁夏）有限责任公司第一分公司,Y
N-H028962,杭州美澳医疗门诊部有限公司滨江儿科诊所,N-R059926,杭州婴为爱医药科技有限公司,N
N-H028962,杭州美澳医疗门诊部有限公司滨江儿科诊所,N-R024175,浙江英特怡年药房连锁有限公司杭州滨盛路店,N
N-H010876,连云港市第一人民医院,N-R093723,苏州健生源医药连锁有限公司连云港苏宁广场店,N
N-H001307,江苏省苏北人民医院,N-R000219,国药控股扬州大药房连锁有限公司苏北新特药房,Y
N-H033076,青岛大学附属医院（崂山院区）,N-R073622,京东大药房（青岛）连锁有限公司青医崂山院区店,N
N-H001605,浙江大学医学院附属第一医院城站院区,N-R028384,杭州华东大药房连锁有限公司金鸡岭连锁店,N
N-H000733,烟台毓璜顶医院,N-R041703,烟台燕喜堂医药连锁有限公司芝罘区庆善街店,N
N-H038146,蒙城县第一人民医院,N-R143503,阜阳国胜大药房连锁有限公司蒙城商城店,N
N-H005504,淄博市张店区中医院,N-R090924,淄博新华大药店连锁有限公司张店互联网医院智慧药房东院店,N
N-H001221,南京医科大学第二附属医院,N-R005255,江苏润天医药连锁药房有限公司南医大二附院门诊药店,Y
N-H017697,海安市人民医院,N-R128230,海安市益民大药房有限公司,N
N-H007607,合肥同仁关怀医院,N-R090326,安徽国胜大药房连锁有限公司大通路店,N
N-H009523,亳州市人民医院,N-R072007,安徽天星大药房连锁有限公司亳州店,N
N-H000660,山东大学齐鲁医院,N-R036451,山东爱新卓尔大药房有限公司济南文化西路分公司,N
N-H000660,山东大学齐鲁医院,N-R079739,济南宏仁大药店有限公司,N
N-H000660,山东大学齐鲁医院,N-R024858,漱玉平民大药房连锁股份有限公司齐鲁医院金光店,N
N-H000665,山东省千佛山医院,N-R059116,济南方成药品零售有限公司六分店,N
